Name,Ingredients,Procedure,Serving,Suitable for Diabetic Patients to Eat,Calorie of the food,Approximate time for cooking(Minute)
Phirni,"Rice, Milk, Sugar, Cardamom powder, Saffron strands, Nuts","Phirni is a creamy and delicious Indian rice pudding made with ground rice, milk, sugar, and flavored with cardamom, saffron, and nuts. It's a popular dessert, especially during festivals and celebrations. Here's a recipe to make Phirni at home:

**Ingredients:**

- 1/4 cup basmati rice
- 4 cups full-fat milk
- 1/2 cup sugar (adjust to taste)
- 1/2 teaspoon cardamom powder
- A pinch of saffron strands (optional)
- 2 tablespoons chopped nuts (almonds, pistachios, cashews, etc.)
- 1 tablespoon rose water or kewra water (optional)
- Edible silver or gold leaf for garnish (optional)

**Instructions:**

1. **Prepare the rice:**
   - Rinse the basmati rice under running water until the water runs clear.
   - Soak the rice in enough water for about 30 minutes.
   - After 30 minutes, drain the soaked rice and transfer it to a blender or food processor.

2. **Grind the rice:**
   - Grind the soaked rice into a coarse paste. It should have a grainy texture, similar to semolina (sooji). Set aside.

3. **Boil the milk:**
   - In a heavy-bottomed saucepan, bring the milk to a boil over medium heat, stirring occasionally to prevent it from sticking to the bottom of the pan.
   - Once the milk comes to a boil, reduce the heat to low and let it simmer for about 15-20 minutes, stirring occasionally, until it thickens slightly.

4. **Add the ground rice:**
   - Add the ground rice paste to the simmering milk, stirring continuously to prevent lumps from forming.
   - Cook the mixture for another 10-15 minutes, stirring frequently, until the rice is cooked through and the mixture thickens further.

5. **Sweeten the Phirni:**
   - Add sugar to the Phirni and mix well until the sugar dissolves completely.
   - Continue to cook the Phirni for another 5-10 minutes, stirring frequently, until it reaches the desired consistency. It should be thick and creamy.

6. **Flavor the Phirni:**
   - Add cardamom powder and saffron strands (if using) to the Phirni. Mix well to incorporate the flavors.
   - Optionally, add rose water or kewra water to the Phirni for a fragrant aroma.

7. **Chill and garnish:**
   - Remove the Phirni from the heat and let it cool down to room temperature.
   - Once cooled, transfer the Phirni to individual serving bowls or a large serving dish.
   - Cover the Phirni with plastic wrap and refrigerate it for at least 2-3 hours to chill and set.

8. **Serve:**
   - Garnish the chilled Phirni with chopped nuts and edible silver or gold leaf (if using).
   - Serve the creamy and aromatic Phirni as a delightful dessert for festive occasions or special celebrations.

Enjoy the rich and indulgent sweetness of homemade Phirni with your family and friends!","Serve cold as a sweet dessert, especially during festivals.",No,200,45
Pithe,"Rice flour, Jaggery, Coconut, Milk, Cardamom powder, Ghee","Pithe is a traditional Bengali sweet dish made during special occasions and festivals like Makar Sankranti. There are various types of pithe, each with its own unique ingredients and preparation methods. Here's a recipe for one of the popular types called ""Patishapta Pithe,"" which is a sweet crepe-like delicacy filled with a coconut or khoya (reduced milk) filling.

Ingredients:

For the Crepes (Patishapta):
- 1 cup rice flour
- 1/2 cup all-purpose flour (maida)
- 1 cup milk
- 1/2 cup water
- 1/4 cup sugar (adjust to taste)
- A pinch of salt
- Ghee or oil for frying

For the Filling:
- 1 cup grated coconut or khoya (reduced milk)
- 1/2 cup jaggery or sugar (adjust to taste)
- 1/2 teaspoon cardamom powder
- 2 tablespoons chopped nuts (cashews, almonds, pistachios, etc.) (optional)
- Ghee for frying

Instructions:

1. **Prepare the Filling**:
   - Heat a pan on medium heat and add grated coconut or khoya.
   - Add jaggery or sugar to the pan and mix well.
   - Cook the mixture until the jaggery/sugar melts and blends with the coconut/khoya.
   - Add cardamom powder and chopped nuts (if using) to the mixture and mix well.
   - Cook for a few more minutes until the mixture thickens slightly. Remove from heat and let it cool down.

2. **Make the Crepe Batter**:
   - In a mixing bowl, combine rice flour, all-purpose flour, sugar, and a pinch of salt.
   - Gradually add milk and water to the dry ingredients, stirring continuously to form a smooth batter. The consistency should be similar to dosa or pancake batter.

3. **Cook the Crepes (Patishapta)**:
   - Heat a non-stick or flat-bottomed pan over medium heat and lightly grease it with ghee or oil.
   - Pour a ladleful of the batter onto the pan and spread it in a circular motion to form a thin crepe.
   - Cook the crepe until the edges start to lift and the bottom side is golden brown. Flip it over and cook the other side until golden brown as well.
   - Repeat the process with the remaining batter to make more crepes.

4. **Fill and Roll the Crepes**:
   - Place a spoonful of the prepared coconut or khoya filling in the center of each crepe.
   - Roll the crepe tightly around the filling to form a cylindrical shape. You can also fold the sides to seal the filling completely.

5. **Serve**:
   - Arrange the filled and rolled crepes on a serving platter.
   - You can serve them warm or at room temperature.
   - Optionally, drizzle some additional jaggery syrup or sprinkle powdered sugar on top before serving.

Enjoy the delicious and aromatic Patishapta Pithe as a delightful treat during festive occasions or as a sweet snack with your evening tea!","Serve as a sweet delicacy, especially during festivals in East India.",No,200,60
Poha,"Flattened rice, Onions, Potatoes, Peas, Mustard seeds, Curry leaves, Green chilies, Spices, Peanuts, Oil","Poha, also known as flattened rice or beaten rice, is a popular Indian breakfast dish made from flattened rice flakes. It's a quick and easy dish to prepare, packed with flavor and nutrition. Here's a simple recipe to make Poha at home:

**Ingredients:**

- 1 cup thick or medium-thick Poha (flattened rice)
- 1 medium-sized onion, finely chopped
- 1 medium-sized potato, peeled and diced into small pieces
- 1-2 green chilies, finely chopped (adjust to taste)
- 1/2 teaspoon mustard seeds
- 1/2 teaspoon cumin seeds
- A pinch of asafoetida (hing)
- 8-10 curry leaves
- 1/4 cup peanuts or cashew nuts
- 1 tablespoon oil
- Salt to taste
- 1/2 teaspoon turmeric powder
- 1 tablespoon lemon juice (optional)
- Fresh coriander leaves for garnish
- Grated coconut for garnish (optional)
- Sev or crispy fried gram flour noodles for garnish (optional)

**Instructions:**

1. **Preparation:**
   - Rinse the Poha under running water in a sieve or colander until they soften slightly. Be gentle while rinsing to avoid breaking the Poha. Drain excess water and set aside.

2. **Tempering:**
   - Heat oil in a pan or kadhai over medium heat.
   - Add mustard seeds and let them splutter.
   - Add cumin seeds and sauté until they start to crackle.
   - Add a pinch of asafoetida (hing) and curry leaves to the pan. Sauté for a few seconds until fragrant.

3. **Sauteing vegetables:**
   - Add chopped onions, diced potatoes, and green chilies to the pan. Mix well.
   - Cook the vegetables for 3-4 minutes until the onions turn translucent and the potatoes start to soften.
   - Add peanuts or cashew nuts to the pan and sauté for another 2-3 minutes until the nuts are lightly toasted.

4. **Seasoning:**
   - Add turmeric powder and salt to the pan. Mix well to coat the vegetables evenly with the spices.

5. **Adding Poha:**
   - Add the rinsed and drained Poha to the pan. Gently toss everything together until the Poha is well coated with the vegetable mixture.
   - Cook for another 2-3 minutes, stirring occasionally, until the Poha is heated through and everything is well combined.

6. **Finishing touches:**
   - If using, sprinkle lemon juice over the Poha and mix well to enhance the flavors.
   - Garnish with freshly chopped coriander leaves, grated coconut, and sev or crispy fried gram flour noodles for added flavor and texture.

7. **Serve:**
   - Serve the hot and flavorful Poha immediately as a delicious breakfast or snack option.

Enjoy the comforting and aromatic Poha with a cup of hot tea or coffee for a satisfying start to your day!",Serve hot as a breakfast or snack item.,Yes,150,30
Poornalu,"Chana dal, Jaggery, Rice flour, Cardamom powder, Ghee, Oil for frying","Poornalu, also known as Poornam Boorelu, is a traditional South Indian sweet delicacy, particularly popular in Andhra Pradesh and Telangana regions. These sweet balls are made from a filling of chana dal (split Bengal gram), jaggery, and coconut, coated with a rice flour-based outer layer and then deep-fried. Here's a recipe to make Poornalu at home:

Ingredients:

For the Filling:
- 1 cup chana dal (split Bengal gram)
- 1 cup grated jaggery
- 1/2 cup grated coconut (fresh or desiccated)
- 1 teaspoon cardamom powder
- Ghee for frying

For the Outer Layer:
- 1 cup rice flour
- Water as needed
- A pinch of salt

Instructions:

1. **Prepare the Filling**:
   - Wash the chana dal thoroughly and soak it in water for about 3-4 hours or overnight.
   - Drain the soaked dal and transfer it to a pressure cooker. Add enough water to cover the dal and pressure cook for 2-3 whistles or until the dal becomes soft and cooked.
   - Once the pressure releases naturally, drain any excess water from the cooked dal and let it cool down.
   - Transfer the cooked dal to a mixing bowl and mash it well using a spoon or potato masher.
   - Add grated jaggery, grated coconut, and cardamom powder to the mashed dal and mix everything together to form a smooth mixture. The filling is now ready. Set it aside.

2. **Make the Outer Layer**:
   - In a separate bowl, take rice flour and add a pinch of salt to it.
   - Gradually add water to the rice flour while mixing continuously to form a smooth, lump-free dough. The consistency should be such that you can make small balls out of it without it sticking to your hands. Set the dough aside.

3. **Assemble and Shape the Poornalu**:
   - Take a small portion of the rice flour dough and roll it into a ball in your palms.
   - Flatten the ball to form a small disc.
   - Place a spoonful of the prepared filling mixture in the center of the disc.
   - Carefully bring the edges of the disc together to cover the filling completely and shape it into a smooth ball. Ensure that there are no cracks.

4. **Deep-fry the Poornalu**:
   - Heat ghee in a deep frying pan or kadhai over medium heat.
   - Once the ghee is hot, carefully slide in the prepared Poornalu, a few at a time, taking care not to overcrowd the pan.
   - Fry the Poornalu until they turn golden brown and crispy on all sides, turning them occasionally for even frying.
   - Once done, remove the Poornalu from the ghee using a slotted spoon and drain excess oil by placing them on a paper towel-lined plate.

5. **Serve**:
   - Allow the Poornalu to cool down slightly before serving.
   - Poornalu can be enjoyed warm or at room temperature.
   - Store any leftover Poornalu in an airtight container once they have cooled down completely.

Enjoy the delightful and aromatic Poornalu as a traditional sweet treat during festivals, celebrations, or special occasions!","Serve as a sweet snack, especially during festivals.",No,200,45
Pootharekulu,"Rice paper, Ghee, Jaggery, Khoya, Cardamom powder","Pootharekulu is a traditional sweet delicacy from Andhra Pradesh, India. It is made with a simple combination of rice paper (or rice starch sheets) and powdered sugar or jaggery. Despite its simplicity in ingredients, making Pootharekulu requires skill and patience due to the delicate nature of the rice paper. Here's a recipe to make Pootharekulu at home:

Ingredients:

- Rice paper or rice starch sheets (available at Indian grocery stores)
- Powdered sugar or finely grated jaggery
- Ghee (clarified butter) or unsalted butter
- Cardamom powder (optional)
- Thinly sliced almonds or cashews (optional)

Instructions:

1. **Prepare the Rice Paper**:
   - If you are using rice paper, carefully separate the individual sheets and place them on a clean, dry surface. If you are using rice starch sheets, cut them into square or rectangular pieces of desired size.

2. **Make the Sugar Filling**:
   - In a bowl, mix powdered sugar or finely grated jaggery with a pinch of cardamom powder (if using). You can also add thinly sliced almonds or cashews to the filling mixture for added flavor and texture.

3. **Assemble the Pootharekulu**:
   - Take one rice paper sheet and spread a thin layer of ghee or unsalted butter evenly over one side of the sheet.
   - Sprinkle a generous amount of the sugar or jaggery filling mixture over the ghee-coated side of the rice paper.

4. **Fold the Pootharekulu**:
   - Carefully fold the rice paper sheet from one end to the other, sealing the edges to enclose the filling completely.
   - Press gently to ensure that the filling is evenly distributed inside the folded rice paper.

5. **Repeat the Process**:
   - Repeat the process with the remaining rice paper sheets and filling mixture until all the Pootharekulu are assembled.

6. **Serve or Store**:
   - Pootharekulu can be served immediately or stored for later consumption.
   - If serving immediately, arrange the Pootharekulu on a serving plate and enjoy the crunchy texture and sweet flavor.
   - If storing for later, place the assembled Pootharekulu in an airtight container, separating each layer with parchment paper or plastic wrap to prevent sticking.

7. **Note**:
   - Pootharekulu are best consumed within a few days of preparation to retain their crispiness and freshness.
   - Store them in a cool, dry place away from moisture to prevent them from becoming soggy.

Enjoy the delightful and unique flavors of Pootharekulu as a traditional sweet snack or dessert!","Serve as a sweet delicacy, especially in Andhra Pradesh.",No,200,45
Qubani Ka Meetha,"Dried apricots, Sugar, Water, Cardamom powder, Cream, Nuts","Qubani ka Meetha is a classic Hyderabadi dessert made from dried apricots (qubani) that are stewed until soft and then sweetened with sugar. It's typically served chilled and garnished with nuts such as almonds or pistachios. Here's a recipe to make Qubani ka Meetha at home:

**Ingredients:**

- 250 grams dried apricots (qubani)
- 1 cup water
- 1/2 cup sugar (adjust to taste)
- 1/2 teaspoon cardamom powder
- 1 tablespoon rose water (optional)
- Chopped nuts for garnish (almonds, pistachios, etc.)
- Whipped cream or vanilla ice cream (optional, for serving)

**Instructions:**

1. **Prepare the dried apricots:**
   - Rinse the dried apricots under cold water to remove any dust or impurities.
   - In a bowl, soak the dried apricots in water overnight or for at least 6-8 hours. This will help to soften them.

2. **Cook the apricots:**
   - Transfer the soaked apricots along with the soaking water to a heavy-bottomed saucepan.
   - Bring the water to a boil over medium-high heat, then reduce the heat to low and let the apricots simmer for about 15-20 minutes until they become soft and mushy.

3. **Sweeten the mixture:**
   - Once the apricots are soft, add sugar to the saucepan and stir well until the sugar dissolves completely.
   - Continue to simmer the mixture for another 5-10 minutes until it thickens slightly and reaches a syrup-like consistency.

4. **Flavor with cardamom and rose water:**
   - Add cardamom powder to the apricot mixture and mix well to incorporate the flavor.
   - Optionally, add rose water to the mixture for a fragrant aroma. Mix well.

5. **Cool and chill:**
   - Allow the Qubani ka Meetha to cool down to room temperature.
   - Once cooled, transfer it to a serving dish or individual serving bowls.
   - Cover the dish with plastic wrap and refrigerate it for at least 2-3 hours to chill and set.

6. **Garnish and serve:**
   - Before serving, garnish the chilled Qubani ka Meetha with chopped nuts (almonds, pistachios, etc.) for added texture and flavor.
   - Optionally, serve with a dollop of whipped cream or a scoop of vanilla ice cream for a decadent touch.

Enjoy the sweet and tangy flavors of homemade Qubani ka Meetha as a delightful dessert after your meals, especially during festive occasions or special celebrations!",Serve chilled as a sweet dessert.,No,200,45
Rabri,"Milk, Sugar, Cardamom powder, Nuts","Rabri, also known as Rabdi, is a rich and creamy Indian dessert made by boiling milk on low heat for a long time until it thickens and reduces to about one-third of its original volume. It's flavored with cardamom, saffron, and sometimes rose water, and often garnished with nuts like almonds, pistachios, or cashews. Here's a simple recipe to make Rabri at home:

Ingredients:

- 1 liter full-fat milk
- 1/2 cup sugar (adjust to taste)
- 1/4 teaspoon cardamom powder
- A pinch of saffron strands
- 1 tablespoon chopped nuts (almonds, pistachios, cashews) for garnish (optional)
- 1 tablespoon rose water (optional)

Instructions:

1. **Boil the Milk**:
   - Pour the milk into a heavy-bottomed pan or kadhai and place it on medium heat.
   - Bring the milk to a boil, stirring occasionally to prevent it from sticking to the bottom of the pan.
   - Once the milk comes to a boil, reduce the heat to low and let it simmer. Stir the milk occasionally to ensure it doesn't stick to the bottom or form a skin on the surface.

2. **Reduce the Milk**:
   - Continue simmering the milk on low heat, allowing it to reduce gradually. This process may take 1 to 1.5 hours. Be patient and stir occasionally.
   - As the milk reduces, you'll notice it thickening and changing color to a creamy beige.

3. **Add Sugar and Flavorings**:
   - Once the milk has reduced to about one-third of its original volume and attained a thick consistency, add sugar and stir well until it dissolves completely.
   - Add cardamom powder and saffron strands to the milk and mix well to infuse the flavors. You can also add rose water at this stage if desired.

4. **Garnish and Serve**:
   - Turn off the heat and let the Rabri cool down slightly.
   - Transfer the Rabri to a serving bowl or individual serving cups.
   - Garnish with chopped nuts like almonds, pistachios, or cashews, if using.
   - You can serve Rabri warm, at room temperature, or chilled, according to your preference.

5. **Storage**:
   - Rabri can be stored in the refrigerator for up to 2-3 days. Before serving leftover Rabri, you may need to stir it well and adjust the consistency by adding a little milk if it has thickened further.

Enjoy the indulgent and creamy Rabri as a delightful dessert after a satisfying meal or during festive occasions!",Serve chilled as a sweet dessert.,No,200,45
Ras Malai,"Paneer, Milk, Sugar, Cardamom powder, Saffron strands, Nuts","Ras Malai is a popular Indian dessert made from soft, spongy cottage cheese balls (paneer or chenna) soaked in sweet, flavored milk. It's a delightful and creamy treat enjoyed during special occasions and festivals. Here's a recipe to make Ras Malai at home:

Ingredients:

For Rasgulla (Cottage Cheese Balls):
- 1 liter full-fat milk
- 2 tablespoons lemon juice or vinegar
- 1 cup sugar
- 4 cups water
- A few saffron strands (optional)
- 1 teaspoon rose water or cardamom powder (optional)
- Chopped nuts for garnish (optional)

For Ras Malai Milk:
- 1 liter full-fat milk
- 1/2 cup sugar (adjust to taste)
- A few saffron strands
- 1/2 teaspoon cardamom powder
- Chopped nuts for garnish (optional)

Instructions:

1. **Prepare Rasgulla (Cottage Cheese Balls)**:
   - Heat the milk in a heavy-bottomed pan over medium heat.
   - Once the milk comes to a boil, reduce the heat to low and add lemon juice or vinegar gradually while stirring continuously.
   - The milk will curdle, separating into curds (chenna) and whey. Turn off the heat once the separation is complete.
   - Strain the mixture using a muslin cloth or cheesecloth to separate the chenna from the whey. Rinse the chenna under cold water to remove any traces of lemon juice or vinegar.
   - Gather the corners of the muslin cloth and squeeze out excess water from the chenna.
   - Transfer the chenna to a clean, dry surface and knead it with the heel of your hand until it becomes smooth and soft. This may take around 8-10 minutes.
   - Divide the kneaded chenna into small portions and roll them between your palms to form smooth, crack-free balls.
   - In a wide, heavy-bottomed pan, add sugar and water. Bring it to a boil, stirring occasionally until the sugar dissolves completely.
   - Once the sugar syrup comes to a rolling boil, gently slide the prepared chenna balls into the syrup one by one.
   - Cover the pan with a lid and let the rasgullas cook on medium heat for about 15-20 minutes. They will double in size while cooking.
   - After 15-20 minutes, the rasgullas should be soft, spongy, and doubled in size. To check for doneness, gently press a rasgulla between your fingers; it should spring back.

2. **Prepare Ras Malai Milk**:
   - In a separate pan, heat the milk over medium heat. Add sugar, saffron strands, and cardamom powder.
   - Let the milk simmer on low heat until it reduces to about half its original volume, stirring occasionally to prevent sticking.
   - Once the milk has thickened and reduced, turn off the heat and let it cool slightly.

3. **Assemble Ras Malai**:
   - Gently squeeze out excess syrup from the cooked rasgullas and transfer them to the prepared milk.
   - Let the rasgullas soak in the milk for at least 2-3 hours in the refrigerator to absorb the flavors.

4. **Garnish and Serve**:
   - Before serving, garnish the Ras Malai with chopped nuts if desired.
   - Serve chilled and enjoy the creamy and delicious Ras Malai as a delightful dessert!

Ras Malai is best enjoyed when chilled and served fresh. It's a perfect treat to indulge in during special occasions or as a refreshing dessert after a hearty meal.",Serve chilled as a sweet dessert.,Yes,200,45
Rasgulla,"Paneer, Sugar, Water, Cardamom powder, Rose water","Rasgulla is a popular Indian sweet made from chenna (coagulated milk) balls cooked in sugar syrup. It originates from the Indian state of West Bengal but is enjoyed throughout the country and beyond. Here's a recipe to make Rasgulla at home:

Ingredients:

For Rasgulla:
- 1 liter full-fat milk
- 2 tablespoons lemon juice or vinegar
- 1 cup sugar
- 4 cups water
- A few saffron strands (optional)
- 1 teaspoon rose water or cardamom powder (optional)
- Chopped nuts for garnish (optional)

Instructions:

1. **Prepare Chenna (Coagulated Milk)**:
   - Heat the milk in a heavy-bottomed pan over medium heat.
   - Once the milk comes to a boil, reduce the heat to low and add lemon juice or vinegar gradually while stirring continuously.
   - The milk will curdle, separating into curds (chenna) and whey. Turn off the heat once the separation is complete.
   - Strain the mixture using a muslin cloth or cheesecloth to separate the chenna from the whey. Rinse the chenna under cold water to remove any traces of lemon juice or vinegar.

2. **Knead the Chenna**:
   - Gather the corners of the muslin cloth and squeeze out excess water from the chenna.
   - Transfer the chenna to a clean, dry surface and knead it with the heel of your hand until it becomes smooth and soft. This may take around 8-10 minutes. The chenna should not feel grainy.

3. **Shape the Rasgulla Balls**:
   - Divide the kneaded chenna into small portions and roll them between your palms to form smooth, crack-free balls. Ensure there are no cracks on the surface.

4. **Prepare Sugar Syrup**:
   - In a wide, heavy-bottomed pan, add sugar and water. Bring it to a boil, stirring occasionally until the sugar dissolves completely.
   - Optionally, add saffron strands for color and flavor, and rose water or cardamom powder for fragrance.

5. **Cook the Rasgulla**:
   - Once the sugar syrup comes to a rolling boil, gently slide the prepared chenna balls into the syrup one by one.
   - Cover the pan with a lid and let the rasgullas cook on medium heat for about 15-20 minutes. They will double in size while cooking, so ensure there is enough space in the pan.
   - Do not stir the rasgullas vigorously while they are cooking, as they may break.

6. **Check for Doneness**:
   - After 15-20 minutes, the rasgullas should be soft, spongy, and doubled in size. To check for doneness, gently press a rasgulla between your fingers; it should spring back.

7. **Cool and Serve**:
   - Once done, remove the pan from the heat and let the rasgullas cool down in the syrup.
   - Serve the rasgullas warm or chilled, garnished with chopped nuts if desired.

Enjoy the soft, spongy, and melt-in-your-mouth Rasgullas as a delightful sweet treat!",Serve chilled as a sweet dessert.,Yes,150,45
Sandesh,"Paneer, Sugar, Cardamom powder, Nuts","Sandesh is a popular Bengali sweet made from fresh paneer (chhena) and sugar. It's often flavored with cardamom, saffron, or other ingredients, and shaped into small round discs or various decorative shapes. Here's a recipe to make Sandesh at home:

**Ingredients:**

- 2 liters full-fat milk
- Juice of 1 lemon or 2 tablespoons vinegar
- 1/2 cup sugar (adjust to taste)
- 1/2 teaspoon cardamom powder
- A few saffron strands (optional)
- Chopped nuts for garnish (pistachios, almonds, etc.)

**Instructions:**

1. **Prepare the chhena (paneer):**
   - In a large pot, bring the milk to a boil over medium heat, stirring occasionally to prevent it from sticking to the bottom of the pot.
   - Once the milk comes to a boil, reduce the heat to low and add lemon juice or vinegar gradually, stirring continuously.
   - As you add the lemon juice or vinegar, you'll notice the milk curdling and separating into curds (chhena) and whey. Keep stirring until the whey becomes transparent and the chhena is completely separated.
   - Turn off the heat and let the mixture sit for a few minutes to allow the chhena to settle.

2. **Strain the chhena:**
   - Place a muslin cloth or cheesecloth over a large bowl or sink.
   - Pour the curdled mixture (chhena and whey) into the cloth to strain out the whey.
   - Rinse the chhena under cold water to remove any traces of lemon juice or vinegar.

3. **Knead the chhena:**
   - Gather the edges of the cloth and twist them to squeeze out excess moisture from the chhena.
   - Transfer the chhena to a clean, flat surface and knead it with the heel of your hand until it becomes smooth and soft. This may take about 5-10 minutes.

4. **Make the Sandesh mixture:**
   - In a non-stick pan or kadhai, combine the kneaded chhena and sugar.
   - Cook the mixture over low heat, stirring continuously, until the sugar melts and blends with the chhena.
   - Add cardamom powder and saffron strands (if using) to the mixture. Mix well.

5. **Shape the Sandesh:**
   - Once the mixture thickens and starts to leave the sides of the pan, turn off the heat.
   - Let the mixture cool down slightly until it's comfortable to handle.
   - Grease your palms with a little ghee or oil and shape the mixture into small round discs or any desired shape.

6. **Garnish and serve:**
   - Garnish the shaped Sandesh with chopped nuts (pistachios, almonds, etc.).
   - Let the Sandesh cool down completely before serving or refrigerate for a few hours to chill.
   - Serve the delicious and homemade Sandesh as a delightful sweet treat for festive occasions or special celebrations!

Enjoy the rich and creamy sweetness of homemade Sandesh with your loved ones!",Serve as a sweet dessert.,Yes,150,45
Shankarpali,"All-purpose flour, Sugar, Ghee, Milk, Cardamom powder, Oil for frying","Shankarpali, also known as Shakkar Para or Shakkarpare, is a popular Indian sweet and savory snack enjoyed during festivals like Diwali and Holi, as well as on special occasions. It's made from a simple dough of all-purpose flour (maida), sugar, ghee (clarified butter), and sometimes milk. Here's a recipe to make Shankarpali at home:

Ingredients:

- 2 cups all-purpose flour (maida)
- 1/2 cup sugar
- 2 tablespoons ghee (clarified butter), melted
- A pinch of salt
- 1/4 teaspoon cardamom powder (optional)
- Oil for deep frying

Instructions:

1. **Prepare the Dough**:
   - In a mixing bowl, combine all-purpose flour, sugar, melted ghee, salt, and cardamom powder (if using).
   - Mix well until the ingredients are combined and crumbly.
   - Gradually add a little water at a time and knead the mixture into a smooth, firm dough. The dough should not be too soft or too stiff.

2. **Rest the Dough**:
   - Cover the dough with a clean kitchen towel or plastic wrap and let it rest for about 15-20 minutes. This helps to relax the gluten and makes rolling easier.

3. **Roll the Dough**:
   - After resting, divide the dough into small portions and roll each portion into a smooth ball.
   - Take one ball of dough and roll it out on a clean, dry surface into a thin circle or rectangle, about 1/8 to 1/4 inch thick.
   - Use a knife or pizza cutter to cut the rolled-out dough into small diamond or square-shaped pieces. You can also use cookie cutters for different shapes if desired.
   - Repeat the process with the remaining dough portions.

4. **Fry the Shankarpali**:
   - Heat oil in a deep frying pan or kadhai over medium heat.
   - Once the oil is hot, carefully slide in a few pieces of the cut dough, making sure not to overcrowd the pan.
   - Fry the Shankarpali in batches until they turn golden brown and crispy on both sides, stirring occasionally for even frying.
   - Once done, remove the fried Shankarpali from the oil using a slotted spoon and drain excess oil by placing them on a paper towel-lined plate.

5. **Cool and Store**:
   - Allow the Shankarpali to cool down completely at room temperature before storing them in an airtight container.
   - They will crisp up further as they cool down.
   - Shankarpali can be stored at room temperature for up to a week, making them perfect for gifting or enjoying as a snack anytime.

Enjoy the crispy and delicious Shankarpali with a cup of tea or coffee as a delightful snack during festive celebrations or as a treat for your taste buds!","Serve as a sweet snack, especially during festivals.",Yes,150,45
Sheer Korma,"Vermicelli, Milk, Sugar, Ghee, Nuts","Sheer Korma is a traditional Indian dessert, especially popular during the festival of Eid al-Fitr, which marks the end of Ramadan. It is a creamy and rich vermicelli pudding made with milk, sugar, and lots of nuts. Here's a recipe to make Sheer Korma at home:

**Ingredients:**

- 1/2 cup thin vermicelli (seviyan)
- 1 liter full-fat milk
- 1/2 cup sugar (adjust to taste)
- 2 tablespoons ghee or unsalted butter
- 1/4 cup mixed nuts (almonds, cashews, pistachios), chopped
- 1 tablespoon raisins
- 1/4 teaspoon cardamom powder
- A few strands of saffron (optional)
- 1 tablespoon rose water or kewra water (optional)
- Chopped dates or figs for garnish (optional)

**Instructions:**

1. **Prepare the vermicelli:**
   - Break the vermicelli into small pieces or crush it with your hands into shorter strands.

2. **Cook the vermicelli:**
   - Heat ghee or unsalted butter in a deep pan or kadhai over medium heat.
   - Add the crushed vermicelli to the pan and roast it until it turns golden brown and fragrant. Keep stirring continuously to prevent it from burning.

3. **Boil the milk:**
   - In another saucepan, bring the milk to a boil over medium heat, stirring occasionally to prevent it from sticking to the bottom of the pan.
   - Once the milk comes to a boil, reduce the heat to low and let it simmer for about 15-20 minutes, stirring occasionally, until it thickens slightly.

4. **Add vermicelli to the milk:**
   - Add the roasted vermicelli to the simmering milk and mix well.
   - Cook the vermicelli in the milk for another 10-15 minutes, stirring occasionally, until it becomes soft and fully cooked.

5. **Sweeten the Sheer Korma:**
   - Add sugar to the pan and mix well until it dissolves completely.
   - Cook the Sheer Korma for another 5-10 minutes until it thickens slightly and reaches the desired consistency.

6. **Add nuts and flavorings:**
   - Add chopped nuts, raisins, cardamom powder, and saffron strands (if using) to the Sheer Korma.
   - Mix well and let it simmer for a few more minutes to allow the flavors to meld together.
   - Optionally, add rose water or kewra water for a fragrant aroma.

7. **Garnish and serve:**
   - Once the Sheer Korma is cooked to perfection, turn off the heat and let it cool down slightly.
   - Garnish with chopped dates or figs (if using).
   - Serve the warm and aromatic Sheer Korma as a delightful dessert for Eid celebrations or special occasions.

Enjoy the rich and indulgent sweetness of homemade Sheer Korma with your family and friends!","Serve as a sweet dish, especially during Eid.",Yes,200,40
